"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","testSetConsole","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","WinTermTest","winterm_test","",""
"","0","testJustFixWindowsConsole","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","JustFixWindowsConsoleTest","initialise_test","",""
"","0","testAutoResetPassedOn","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","skipped","Wed Nov 19 15:38:15 AMT 2025","InitTest","initialise_test","",""
"Teste completo e simples de todas as operações","1269","test_complete_crud","tests.temp","Wed Nov 19 15:38:20 AMT 2025","passed","Wed Nov 19 15:38:21 AMT 2025","","test_complete_simple","",""
"","0","testInitDoesntWrapIfNone","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","skipped","Wed Nov 19 15:38:15 AMT 2025","InitTest","initialise_test","",""
"Criar um novo artigo","350","test_create_post","tests.temp","Wed Nov 19 15:38:21 AMT 2025","passed","Wed Nov 19 15:38:22 AMT 2025","","test_create_post","",""
"","1","testAtexitRegisteredOnlyOnce","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","skipped","Wed Nov 19 15:38:15 AMT 2025","InitTest","initialise_test","",""
"","1","testProxyNoContextManager","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","StreamWrapperTest","ansitowin32_test","",""
"","208","test_get_posts","tests.jsonplaceholder","Wed Nov 19 15:38:17 AMT 2025","passed","Wed Nov 19 15:38:17 AMT 2025","","test_get_posts","",""
"","0","testStyleAttributes","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","AnsiTest","ansi_test","",""
"","1","testWriteAndConvertStripsAllValidAnsi","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","AnsiToWin32Test","ansitowin32_test","",""
"/home/fabiobrasileiro/estudos/TestPy/tests/fabio-songs/features/songs.feature: Listar todas as músicas","1097","test_listar_todas_as_músicas","tests.fabio-songs","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:16 AMT 2025","","test_get_songs","",""
"","0","testIsAProxy","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","StreamWrapperTest","ansitowin32_test","",""
"","0","testForeAttributes","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","AnsiTest","ansi_test","",""
"Teste simples de GET em /posts","205","test_get_posts","tests.jsonplaceholder","Wed Nov 19 15:38:17 AMT 2025","passed","Wed Nov 19 15:38:18 AMT 2025","","test_jsonplaceholder","",""
"","1","testInit","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","WinTermTest","winterm_test","",""
"","0","test_closed_shouldnt_raise_on_closed_stream","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","StreamWrapperTest","ansitowin32_test","",""
"","515","test_insert_employee","tests","Wed Nov 19 15:38:25 AMT 2025","skipped","Wed Nov 19 15:38:25 AMT 2025","","test_post","",""
"","0","testAutoResetChangeable","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","skipped","Wed Nov 19 15:38:15 AMT 2025","InitTest","initialise_test","",""
"","0","testFore","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","skipped","Wed Nov 19 15:38:15 AMT 2025","WinTermTest","winterm_test","",""
"Atualizar um artigo completo","428","test_update_post_put","tests.temp","Wed Nov 19 15:38:23 AMT 2025","passed","Wed Nov 19 15:38:24 AMT 2025","","test_update_put","",""
"","459","test_create_post","tests.jsonplaceholder","Wed Nov 19 15:38:16 AMT 2025","passed","Wed Nov 19 15:38:17 AMT 2025","","test_create_post","",""
"","1","testWriteAndConvertWritesPlainText","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","AnsiToWin32Test","ansitowin32_test","",""
"","0","testInitWrapOffIncompatibleWithAutoresetOn","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","skipped","Wed Nov 19 15:38:15 AMT 2025","InitTest","initialise_test","",""
"Teste de GET em /posts/{id}","215","test_get_post_by_id","tests.jsonplaceholder","Wed Nov 19 15:38:18 AMT 2025","passed","Wed Nov 19 15:38:18 AMT 2025","","test_jsonplaceholder","",""
"","1","testSetConsoleOnStderr","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","WinTermTest","winterm_test","",""
"","1","test_nonTTY","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","IsattyTest","isatty_test","",""
"Atualizar apenas parte do artigo","340","test_update_post_patch","tests.temp","Wed Nov 19 15:38:23 AMT 2025","passed","Wed Nov 19 15:38:23 AMT 2025","","test_update_patch","",""
"","437","test_delete_post","tests.jsonplaceholder","Wed Nov 19 15:38:17 AMT 2025","passed","Wed Nov 19 15:38:17 AMT 2025","","test_delete_post","",""
"","332","test_delete_data","tests","Wed Nov 19 15:38:24 AMT 2025","passed","Wed Nov 19 15:38:24 AMT 2025","","test_delete","",""
"","0","test_withPycharmNoneOverride","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","IsattyTest","isatty_test","",""
"","0","test_withPycharmTTYOverride","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","IsattyTest","isatty_test","",""
"","1","testInitAutoresetOnWrapsOnAllPlatforms","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","skipped","Wed Nov 19 15:38:15 AMT 2025","InitTest","initialise_test","",""
"Buscar um artigo específico","221","test_get_single_post","tests.temp","Wed Nov 19 15:38:23 AMT 2025","passed","Wed Nov 19 15:38:23 AMT 2025","","test_get_posts","",""
"","0","testInitDoesntWrapOnNonWindows","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","skipped","Wed Nov 19 15:38:15 AMT 2025","InitTest","initialise_test","",""
"","0","testInitDoesntWrapOnEmulatedWindows","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","skipped","Wed Nov 19 15:38:15 AMT 2025","InitTest","initialise_test","",""
"","0","testInitWrapsOnWindows","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","skipped","Wed Nov 19 15:38:15 AMT 2025","InitTest","initialise_test","",""
"","1","test_wrap_shouldnt_raise_on_missing_closed_attr","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","AnsiToWin32Test","ansitowin32_test","",""
"","1","test_withPycharm","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","IsattyTest","isatty_test","",""
"","0","testInitWrapOffDoesntWrapOnWindows","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","skipped","Wed Nov 19 15:38:15 AMT 2025","InitTest","initialise_test","",""
"","1","testExtractParams","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","AnsiToWin32Test","ansitowin32_test","",""
"","0","testGetAttrs","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","skipped","Wed Nov 19 15:38:15 AMT 2025","WinTermTest","winterm_test","",""
"","0","testDelegatesContext","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","StreamWrapperTest","ansitowin32_test","",""
"","0","testWriteStripsAnsi","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","AnsiToWin32Test","ansitowin32_test","",""
"","0","testBackAttributes","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","AnsiTest","ansi_test","",""
"","0","testInit","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","AnsiToWin32Test","ansitowin32_test","",""
"","1","testResetAll","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","WinTermTest","winterm_test","",""
"","1","test_withPycharmStreamWrapped","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","IsattyTest","isatty_test","",""
"Excluir um artigo","339","test_delete_post","tests.temp","Wed Nov 19 15:38:22 AMT 2025","passed","Wed Nov 19 15:38:22 AMT 2025","","test_delete_post","",""
"","0","test_withPycharmNonTTYOverride","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","IsattyTest","isatty_test","",""
"Teste de PATCH (atualização parcial do post)","328","test_partial_update_post_patch","tests.jsonplaceholder","Wed Nov 19 15:38:19 AMT 2025","passed","Wed Nov 19 15:38:19 AMT 2025","","test_jsonplaceholder","",""
"","1","testCallWin32UsesLookup","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","AnsiToWin32Test","ansitowin32_test","",""
"","0","testWriteAndConvertSkipsEmptySnippets","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","AnsiToWin32Test","ansitowin32_test","",""
"","327","test_partial_update_post_patch","tests.jsonplaceholder","Wed Nov 19 15:38:19 AMT 2025","passed","Wed Nov 19 15:38:20 AMT 2025","","test_partial_update_post_patch","",""
"","0","testBack","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","skipped","Wed Nov 19 15:38:15 AMT 2025","WinTermTest","winterm_test","",""
"","1","testStripIsTrueOnWindows","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","AnsiToWin32Test","ansitowin32_test","",""
"","0","test_soma","tests.temp","Wed Nov 19 15:38:23 AMT 2025","passed","Wed Nov 19 15:38:23 AMT 2025","","test_matematica","",""
"","0","testWriteAutoresets","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","AnsiToWin32Test","ansitowin32_test","",""
"","1","test_wrap_shouldnt_raise_on_closed_orig_stdout","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","AnsiToWin32Test","ansitowin32_test","",""
"","0","testStyle","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","skipped","Wed Nov 19 15:38:15 AMT 2025","WinTermTest","winterm_test","",""
"","0","test_native_windows_ansi","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","AnsiToWin32Test","ansitowin32_test","",""
"","0","testDelegatesWrite","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","StreamWrapperTest","ansitowin32_test","",""
"","0","testStripIsFalseOffWindows","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","AnsiToWin32Test","ansitowin32_test","",""
"","381","test_update_post_put","tests.jsonplaceholder","Wed Nov 19 15:38:20 AMT 2025","passed","Wed Nov 19 15:38:20 AMT 2025","","test_update_post_put","",""
"","1","testWriteAndConvertCallsWin32WithParamsAndCommand","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","AnsiToWin32Test","ansitowin32_test","",""
"","769","test_status_and_data","tests","Wed Nov 19 15:38:24 AMT 2025","passed","Wed Nov 19 15:38:25 AMT 2025","","test_get","",""
"Teste de POST (criação de post)","330","test_create_post","tests.jsonplaceholder","Wed Nov 19 15:38:18 AMT 2025","passed","Wed Nov 19 15:38:18 AMT 2025","","test_jsonplaceholder","",""
"Buscar todos os artigos","210","test_get_all_posts","tests.temp","Wed Nov 19 15:38:22 AMT 2025","passed","Wed Nov 19 15:38:23 AMT 2025","","test_get_posts","",""
"Buscar artigos de um usuário específico","212","test_get_posts_by_user","tests.temp","Wed Nov 19 15:38:22 AMT 2025","passed","Wed Nov 19 15:38:22 AMT 2025","","test_get_filtered","",""
"","1","testWriteDoesNotStripAnsi","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","AnsiToWin32Test","ansitowin32_test","",""
"","1","test_closed_shouldnt_raise_on_detached_stream","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","StreamWrapperTest","ansitowin32_test","",""
"","0","test_reset_all_shouldnt_raise_on_closed_orig_stdout","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","AnsiToWin32Test","ansitowin32_test","",""
"Teste de DELETE (remoção de post)","384","test_delete_post","tests.jsonplaceholder","Wed Nov 19 15:38:19 AMT 2025","passed","Wed Nov 19 15:38:19 AMT 2025","","test_jsonplaceholder","",""
"","1","test_TTY","Lib.site-packages.colorama.tests","Wed Nov 19 15:38:15 AMT 2025","passed","Wed Nov 19 15:38:15 AMT 2025","IsattyTest","isatty_test","",""
"Teste de PUT (atualização completa do post)","573","test_update_post_put","tests.jsonplaceholder","Wed Nov 19 15:38:18 AMT 2025","passed","Wed Nov 19 15:38:19 AMT 2025","","test_jsonplaceholder","",""
"","340","test_put_new_data","tests","Wed Nov 19 15:38:25 AMT 2025","passed","Wed Nov 19 15:38:26 AMT 2025","","test_put","",""
